[2026-08-11T19:09:11.679Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_src_app_layout_tsx_6801e5c9._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.680Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_5f2be68a._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.680Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_src_app_page_tsx_6cd4db0a._.js → pending (?ms, ?B)
[2026-08-11T19:09:11.680Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_client_components_builtin_global-error_6801e5c9.js → pending (?ms, ?B)
[2026-08-11T19:09:11.732Z] GET http://localhost:3737/_next/static/media/1bffadaabf893a1e-s.7cd81963.woff2 → 200 (1ms, -301B)
[2026-08-11T19:09:11.736Z] GET http://localhost:3737/_next/static/media/23f1a98b08006014-s.a9f8c6bf.woff2 → 200 (1ms, -302B)
[2026-08-11T19:09:11.864Z] GET http://localhost:3737/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (11ms, 3838B)
[2026-08-11T19:09:11.864Z] GET http://localhost:3737/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_99ecd5cd._.js → 200 (10ms, 288B)
[2026-08-11T19:09:11.900Z] GET http://localhost:3737/__nextjs_font/geist-latin.woff2 → 200 (?ms, -209B)
[2026-08-11T19:09:46.247Z] GET http://localhost:3737/ → 200 (180ms, 25989B)
[2026-08-11T19:09:46.440Z] GET http://localhost:3737/_next/static/media/54fc36028e2bb174-s.p.a3b6b797.woff2 → 200 (5ms, -302B)
[2026-08-11T19:09:46.446Z] GET http://localhost:3737/_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2 → 200 (?ms, -300B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/%5Broot-of-the-server%5D__e4eeb3eb._.css → 200 (8ms, 9176B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_d4aeaf06._.js → 200 (10ms, 671B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_react-dom_c02082fa._.js → 200 (107ms, 181998B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_react-server-dom-turbopack_f3bcf417._.js → 200 (43ms, 30994B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_next-devtools_index_363fd55b.js → 200 (106ms, 224041B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_b12ed00b._.js → 200 (43ms, 28439B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_client_dcc6b285._.js → 200 (87ms, 122683B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_e38d9da7._.js → 200 (63ms, 39073B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/27ab9_%40swc_helpers_cjs_335f9ca6._.js → 200 (48ms, 771B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_a0ff3932._.js → 200 (61ms, 734B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/turbopack-PM_orbit-os_9e200e60._.js → 200 (83ms, 18581B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_690b4cfa._.js → 200 (85ms, 22295B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_src_app_favicon_ico_mjs_9b719d4f._.js → 200 (80ms, 255B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_src_app_layout_tsx_6801e5c9._.js → 200 (90ms, 262B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_5f2be68a._.js → 200 (100ms, 20317B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_src_app_page_tsx_6cd4db0a._.js → 200 (92ms, 251B)
[2026-08-11T19:09:46.447Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_client_components_builtin_global-error_6801e5c9.js → 200 (94ms, 206B)
[2026-08-11T19:09:46.487Z] GET http://localhost:3737/_next/static/media/1bffadaabf893a1e-s.7cd81963.woff2 → 200 (?ms, -301B)
[2026-08-11T19:09:46.488Z] GET http://localhost:3737/_next/static/media/23f1a98b08006014-s.a9f8c6bf.woff2 → 200 (?ms, -302B)
[2026-08-11T19:09:46.612Z] GET http://localhost:3737/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (11ms, 3838B)
[2026-08-11T19:09:46.612Z] GET http://localhost:3737/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_99ecd5cd._.js → 200 (9ms, 288B)
[2026-08-11T19:09:46.640Z] GET http://localhost:3737/__nextjs_font/geist-latin.woff2 → 200 (?ms, -209B)
